Comment,User Profile Link,Stars
AXIS BANK LTD Jayanagar got me into this policy.,https://www.mouthshut.com/masvinush,1
"Policy servicing Team of Maxlife insurance at Bhopal, Madhya Pradesh is bogus and useless. Their words are useless. whatever they will commit for seven days will definitely take 2 months. One should not take any policy from Max Bhopal team.",https://www.mouthshut.com/rajesh1998singh,1
Agents and Managers enjoying public money they even don't know how to write name properly.,https://www.mouthshut.com/eshwarmankare,1
I had a policy of Max Life Insurance which was sold by a agent. Agent was lier because I wanted to buy a Mony back policy but he sold me share market based policy. When I got informed by a friend so I decided to surrender it and I just got only 30 percent against my invested amount.,https://www.mouthshut.com/Manoj404,1
Policy no 252424189. Max life mis sold policy and forged my signatures to issue the policy. already raised 4-5 complaints and even wrote to CEO however no solution. Please help in getting my hard earned money back,https://www.mouthshut.com/nangia_sneha,1
Max life insurance is very fraud company.,https://www.mouthshut.com/viveksonigov,1
"Maxlife Insurance is good in collecting Premiums,",https://www.mouthshut.com/malleshgb,1
This is regarding Policy #336187059 -,https://www.mouthshut.com/arunammannaya714,1
"Im working in maxlife insurance as agent advisor from 18.3.2019, as i seen that maxlife working environment culture is good, providing international trip also, every month there is GO meet for agents they give active cena certificate when they logged policy within 10th in a month, premium leader mns doing business Rs2lacs an above, 5A monther mns logged 5 policies, 10A monther mns logged 10 policies. If a person is an advisor, agncy associate manager and agncy manager no1 will say anythng to them except boss bcz for agents they are totally comission based + incentive + bonus but for agency manager they get salary very low but as chief agncy manager salary Rs25000 but their incentive is unlimited how much their agnt got comission out of that 90 to 95% they recieve. But once u become agency development manager then ??????????because they are salaried employeed they have to recruit agents then business ?????? ???? ?? if they dnt bring due to any reason then ???? ??? ???? ????? Agnt work is best, freelancer u can also do as part time also once u become trained well.",https://www.mouthshut.com/shubhchotuss47,5
"You have consistently strived to give the best in life to your family and guarantee that they satisfy their fantasies. Yet, it is consistently in your heart that if something transpires, what will befall your family.",https://www.mouthshut.com/Snehakhaling,3
"An agent , fooled my mother by telling her the benefits of other policies and giving her a death policy , saying big words.",https://www.mouthshut.com/tanyamalhotra2097,1
"Hi All, Don't purchase any product from max life insurance.When executive will meet and saying so much vast words.Very worst service in India. I called to customer care to stop the policy, Their customer care peoples are not listing any words.Just they ask the questions and they will not give proper answers and I faced so many times with check bounce.I said so many times to stop the policy, But their people nothing will understand.Now my cibil score is very low based on above conditions.Thanks any one help me to increase my CIBIL score.",https://www.mouthshut.com/venkareddyios,1
"I took Max Life Partener Plus Policy from one of the agents of Max Life Insurance ten years before.I had paid a total amount of Rupees Five Lacs.Due to few financial problems faced by me, I was enforced to surrender the policy.The response given to me was, ""You will be paid 30% of the amount that has been paid by you so far on surrendering the policy"".I was really annoyed considering the fact that the agent did not disclose while explaining about policy during initial discussion.After having paid the amount, I got bond with all terms and conditions resulting in a loss of Rupees 3.5 Lacs plus the interest accumulated on the policy.Guys, we are getting cheated from Max Life Insurance and our hard earned money is getting looted by them.",https://www.mouthshut.com/p162_261,2
My Equote:9857ABNS,https://www.mouthshut.com/md8ananth,1
"In reference to my policy number 333901213, it's taking very long to refund my policy premium, more than 6 times I reached but still delayed, when you don't get your premium money back due to policy cancellation, how can you expect you get your policy money on time, this not a trusted company.",https://www.mouthshut.com/skunta4,1
"It was a very bad experience with the company. Took the policy and 3 months premium also deducted. I had received the policy final documents also after all the approvals, and now they are cancelled my policy stating no medical test done, about which no communication done with me. This was a very bad experience with the company.",https://www.mouthshut.com/virusinfector1,1
"Don't trust Max life agents as they hide many things and give wrong information. Never consider insurance speciallyax life as investment tool, trust me you will regret life long",https://www.mouthshut.com/neelukw,1
Worst policy i have ever came across till now. Also there conditions are totally pathetic and not at all user friendly. Please do not opt for it in any case..,https://www.mouthshut.com/vaishuudmale,1
"I signed and sent many forms to Max insurance to ensure that NO auto debit happens towards any of my Max life insurance policies. However those idiots had done an auto debit from my bank account even though their agent Syed Ali promised me that AUTO debit will never happen for the policies, and thereby was charged hefty bank charges for insufficient funds,",https://www.mouthshut.com/999vijay,1
"Never deal with max life insurance. even after rejecting the proposal, will delay refunding the amount back to you.",https://www.mouthshut.com/crana66,1
This is reference to my husband application for Life term Plan with Max Life.(Policy No: 144281045),https://www.mouthshut.com/sunil1205verma,1
"Customer service is very very Pathetic. Currently stuck and banging my head for opting Maxlife as my insurance partner. True colors starts showing up soon after the very first premium payment is done. Firstly they ask something on the application form, parses the information provided by the customer and publishes something else on the proposal form. Secondly the medical team fills up the questionnaire completely random fashion and they blame the customer for the fault of the medical team even though it is actually the customer who pin points the clerical errors. Customer team neither acknowledges the issue nor address the issues, they just keeps the customer guessing. More importantly even if they respond, new response will be tangential to all their earlier responses. Lastly they try to manipulate the customer on phone calls, and hardly conveys the same phone discussions on emails.",https://www.mouthshut.com/chidunitw,1
Koi bhi costomer max life ka policy mat Lena kyunki iska claim aur iska system bahut jyada hi kharab hai,https://www.mouthshut.com/sahusonu286991,1
This is reference to my application for Life term Plan with Max Life.(Policy No: 142629534),https://www.mouthshut.com/anmolchadha82,1
I've had a max life term plan since 2016.,https://www.mouthshut.com/harrieshs999,1
